flr,pred_idxs_1,pred_idxs_2,true_positive_1,true_positive_2,missed_idxs_1,missed_idxs_2,freq,saved_pairwise_sim
685,"[0, 1, 3, 4, 6]",[0 1 3 6],1.0,1.0,[],[],"[5, 2, 7, 2, 2, 1, 3, 4, 1, 4]","[[1.         0.61659804 0.         0.69075651 0.         0.
  0.57192575 0.         0.         0.         1.         0.38058648
  0.         0.44373451 0.         0.         0.3455193  0.
  0.         0.        ]
 [0.71655276 1.         0.26003119 0.67837952 0.26095506 0.26642248
  0.63921114 0.26618464 0.26191498 0.26378624 0.46743151 1.
  0.13966646 0.43277642 0.14020525 0.14336807 0.39911458 0.14328488
  0.14078054 0.14182891]
 [0.00940923 0.00817232 1.         0.00833182 0.97738764 0.98780664
  0.01261601 0.98817276 0.98177568 0.98488725 0.00477573 0.00415207
  1.         0.00424104 0.84967937 0.88957077 0.00648647 0.89167628
  0.86511643 0.87750167]
 [0.76008801 0.66252772 0.22368732 1.         0.22453184 0.22709528
  0.62151972 0.22668071 0.22694528 0.22617017 0.51004848 0.41892729
  0.11873961 1.         0.11921281 0.12066153 0.38454213 0.1204548
  0.12063337 0.12013941]
 [0.         0.         0.97717283 0.         1.         0.98457757
  0.         0.98534763 0.97748199 0.98251848 0.         0.
  0.84895804 0.         1.         0.87598955 0.         0.8790056
  0.85010403 0.867911  ]
 [0.02869581 0.03592018 0.98813744 0.03193866 0.98511236 1.
  0.04024072 0.99865926 0.99212824 0.9965416  0.01447176 0.0180971
  0.89064663 0.01609276 0.8777842  1.         0.02027535 0.96374265
  0.91107536 0.94241821]
 [0.72362138 0.68495407 0.35649133 0.68502083 0.35440075 0.36204154
  1.         0.36013216 0.35909546 0.35744741 0.47421931 0.4385583
  0.1980254  0.43864819 0.19664447 0.20137528 1.         0.20029692
  0.19968476 0.19863025]
 [0.02237618 0.02933164 0.988421   0.02511622 0.98576779 0.99865054
  0.03110499 1.         0.99341634 0.99753648 0.01124552 0.01478706
  0.89238047 0.01263975 0.88036625 0.96362396 0.01574089 1.
  0.91868357 0.95143344]
 [0.01863121 0.0198923  0.98189896 0.02167482 0.97785581 0.99190322
  0.02573956 0.99324842 1.         0.99080917 0.00935998 0.01002282
  0.86573774 0.01095771 0.85150705 0.91061412 0.01310905 0.9185285
  1.         0.90429672]
 [0.01179665 0.01558442 0.98492367 0.01388637 0.98272472 0.99638537
  0.01645882 0.99741429 0.99079242 1.         0.00596627 0.00784344
  0.87764821 0.007012   0.86869908 0.94192125 0.00842338 0.95117413
  0.90396886 1.        ]]"
686,"[1, 3, 4, 6, 8]",[3],1.0,1.0,[],[],"[2, 4, 3, 1, 3, 4, 4, 2, 1, 5]","[[1.         0.97279516 0.96600595 0.26448161 0.98284766 0.99208395
  0.86321597 0.99292453 0.76486722 0.99509804 1.         0.83505325
  0.81582548 0.14222526 0.86926577 0.90976063 0.63039994 0.91589334
  0.51528381 0.92995967]
 [0.9721717  1.         0.94003964 0.24762542 0.96661748 0.97008468
  0.83514522 0.97296807 0.72887819 0.97276688 0.83316669 1.
  0.755047   0.13241456 0.81650725 0.82684056 0.59420835 0.8365498
  0.47956787 0.83533734]
 [0.96880684 0.94621266 1.         0.32508361 0.96790852 0.96888807
  0.84358267 0.96707184 0.75222423 0.96604938 0.8235864  0.76802228
  1.         0.17837098 0.82125433 0.82389258 0.60479446 0.81840743
  0.50259403 0.81619712]
 [0.         0.         0.         1.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         1.         0.         0.         0.         0.
  0.         0.        ]
 [0.98308476 0.9678165  0.96551041 0.27464883 1.         0.9839838
  0.85120883 0.98140421 0.75041809 0.98284314 0.87017262 0.81984063
  0.81468526 0.14817534 1.         0.87333229 0.61476869 0.86418823
  0.5006516  0.86980248]
 [0.99217897 0.97110597 0.96650149 0.27331104 0.98395426 1.
  0.85940289 0.99056604 0.76801124 0.99164851 0.9102958  0.82981397
  0.81723549 0.14731232 0.87320396 1.         0.62516246 0.90220737
  0.51849242 0.90886421]
 [0.84658057 0.81925676 0.80882061 0.17545151 0.830782   0.84039028
  1.         0.84470247 0.71034852 0.84758533 0.60871161 0.57525427
  0.56319718 0.09189058 0.58931433 0.60079932 1.         0.60639515
  0.46212028 0.60989592]
 [0.99281557 0.9734175  0.96392468 0.26254181 0.98100332 0.99033505
  0.8611066  1.         0.75663924 0.99201162 0.91577624 0.83817311
  0.81015472 0.14103101 0.86304916 0.90148699 0.62769425 1.
  0.50686915 0.91098071]
 [0.68024736 0.63958037 0.63280476 0.         0.65584655 0.68068851
  0.64871004 0.66999274 1.         0.67011619 0.43491436 0.40013732
  0.39461003 0.         0.41378969 0.43530605 0.40769283 0.42590378
  1.         0.42596846]
 [0.99508912 0.97332859 0.9629336  0.26314381 0.98257101 0.99153166
  0.863865   0.99210813 0.75697371 1.         0.92989721 0.83705418
  0.80794002 0.14146038 0.86877612 0.90823876 0.63119002 0.9110252
  0.50717118 1.        ]]"
687,"[1, 2, 3, 4, 7]",[3],0.0,0.0,[],[],"[4, 3, 3, 4, 2, 4, 3, 6, 7, 2]","[[1.         0.86052632 0.80801172 0.30612245 0.73368679 0.97575431
  0.95864263 0.85728155 0.82747748 0.97358491 1.         0.62772705
  0.56250009 0.1682318  0.48442928 0.84629739 0.79966006 0.62246387
  0.5862962  0.83634792]
 [0.81341966 1.         0.69565217 0.06938776 0.7177814  0.86584052
  0.83085896 0.71553398 0.7509009  0.85768194 0.56866893 1.
  0.44903708 0.03627844 0.46910613 0.63317134 0.58868773 0.46743184
  0.50105083 0.62197543]
 [0.76927604 0.72675439 1.         0.1644898  0.60399674 0.79903017
  0.7826087  0.7038835  0.68918919 0.79622642 0.51954744 0.47778943
  1.         0.08657087 0.37101714 0.55166299 0.5325401  0.45564034
  0.44300328 0.54717973]
 [0.         0.         0.         1.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         1.         0.         0.         0.         0.
  0.         0.        ]
 [0.61742201 0.69736842 0.52662433 0.         1.         0.67403017
  0.64793213 0.53446602 0.58513514 0.65822102 0.38015096 0.4491211
  0.31140486 0.         1.         0.42846783 0.40541789 0.31807192
  0.35609707 0.41488808]
 [0.97410241 0.89078947 0.81778212 0.24244898 0.75244698 1.
  0.98303287 0.86990291 0.8509009  0.9967655  0.83931683 0.66901895
  0.57320317 0.13045624 0.50302776 1.         0.86699991 0.6378242
  0.61556484 0.93302534]
 [0.95409064 0.85964912 0.79921837 0.22979592 0.72797716 0.98221983
  1.         0.86650485 0.90012684 0.97789757 0.78873675 0.62564915
  0.55112209 0.12288057 0.47848048 0.86584118 1.         0.63340821
  0.71051743 0.85012691]
 [0.82695703 0.74254386 0.70151441 0.15877551 0.60766721 0.85506466
  0.85418876 1.         0.7018018  0.85229111 0.58381442 0.49329587
  0.45356074 0.08308132 0.37472741 0.61809196 0.61677412 1.
  0.45535225 0.61345753]
 [0.77633902 0.75833333 0.66389839 0.09469388 0.62438825 0.82273707
  0.88516989 0.68009709 1.         0.82587601 0.52690236 0.507543
  0.41998214 0.04881808 0.38753117 0.57947168 0.69167235 0.43499996
  1.         0.58205328]
 [0.97115951 0.88377193 0.814851   0.24244898 0.74021207 0.99622845
  0.97826087 0.86699029 0.85315315 1.         0.82888432 0.65885496
  0.56885675 0.13029774 0.49112685 0.93301314 0.85139428 0.63336241
  0.61785522 1.        ]]"
688,"[0, 1, 4, 5, 7]",[1 4 5],1.0,1.0,[],[],"[5, 2, 1, 5, 1, 3, 3, 4, 1, 4]","[[1.00000000e+00 6.16899619e-02 9.19021796e-01 9.14444907e-01
  4.22784546e-02 4.80668757e-02 9.74623002e-01 9.77643197e-01
  9.71002440e-01 9.63881910e-01 1.00000000e+00 3.12719426e-02
  7.15467108e-01 7.07618804e-01 2.12835805e-02 2.43427316e-02
  8.41380053e-01 8.50107697e-01 8.29792814e-01 8.09792623e-01]
 [1.96912037e-01 1.00000000e+00 1.95380123e-01 1.80327015e-01
  6.99364782e-01 7.15998460e-01 2.02565834e-01 2.02909214e-01
  1.95830561e-01 1.91792295e-01 1.03930374e-01 1.00000000e+00
  1.03085740e-01 9.46911784e-02 4.51703720e-01 4.67092002e-01
  1.07074130e-01 1.07323485e-01 1.03379393e-01 1.01062596e-01]
 [9.15461564e-01 1.96950445e-02 1.00000000e+00 8.68621121e-01
  1.35374362e-03 4.01473904e-03 9.18973666e-01 9.22854879e-01
  9.06963850e-01 9.16300251e-01 7.09445541e-01 9.83831404e-03
  1.00000000e+00 6.37645340e-01 5.71014691e-04 1.99181040e-03
  7.15488698e-01 7.22504168e-01 6.95142252e-01 7.10950460e-01]
 [9.10568664e-01 0.00000000e+00 8.68443008e-01 1.00000000e+00
  0.00000000e+00 0.00000000e+00 9.22574837e-01 9.31231605e-01
  9.17332003e-01 9.05307789e-01 7.01260560e-01 0.00000000e+00
  6.37438312e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00
  7.22371826e-01 7.37996366e-01 7.12633988e-01 6.92310971e-01]
 [0.00000000e+00 6.33354511e-01 0.00000000e+00 0.00000000e+00
  1.00000000e+00 6.71781334e-01 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 3.94354427e-01
  0.00000000e+00 0.00000000e+00 1.00000000e+00 4.27062869e-01
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [5.89866261e-02 6.72109276e-01 5.57930963e-02 5.32701521e-02
  6.89263772e-01 1.00000000e+00 6.38082377e-02 6.24858501e-02
  6.41494788e-02 6.51695980e-02 2.99349618e-02 4.27182961e-01
  2.82767208e-02 2.68933451e-02 4.42471065e-01 1.00000000e+00
  3.23056512e-02 3.17443002e-02 3.25819613e-02 3.30420551e-02]
 [9.75481135e-01 9.98094028e-02 9.25018250e-01 9.28452406e-01
  7.46641674e-02 8.49694770e-02 1.00000000e+00 9.93717455e-01
  9.83976491e-01 9.67493719e-01 8.44099072e-01 5.12180163e-02
  7.26160963e-01 7.32938482e-01 3.80604616e-02 4.34106576e-02
  1.00000000e+00 9.20313294e-01 8.73267158e-01 8.20010650e-01]
 [9.78362510e-01 1.05273189e-01 9.28876838e-01 9.36679858e-01
  7.99229407e-02 8.88742232e-02 9.93585415e-01 1.00000000e+00
  9.87635839e-01 9.72414154e-01 8.53088366e-01 5.41307881e-02
  7.33658859e-01 7.48671900e-01 4.07457496e-02 4.55276502e-02
  9.20535742e-01 1.00000000e+00 8.89159141e-01 8.34003781e-01]
 [9.71403719e-01 7.85260483e-02 9.12451768e-01 9.22307853e-01
  6.07622618e-02 7.15503492e-02 9.83569660e-01 9.87378311e-01
  1.00000000e+00 9.62363903e-01 8.31457851e-01 4.01586089e-02
  7.04380685e-01 7.21501468e-01 3.08577876e-02 3.65232284e-02
  8.72318226e-01 8.88016597e-01 1.00000000e+00 8.06553711e-01]
 [9.62487768e-01 1.92503177e-02 9.16727500e-01 9.05905020e-01
  5.31084036e-03 1.78188418e-02 9.65057394e-01 9.70341861e-01
  9.60301619e-01 1.00000000e+00 8.06167206e-01 9.64824975e-03
  7.11545634e-01 6.93119858e-01 2.62891298e-03 8.93094124e-03
  8.13381022e-01 8.27407771e-01 8.00919068e-01 1.00000000e+00]]"
689,"[0, 2, 3, 6, 8]",[0 2 3],1.0,1.0,[],[],"[2, 3, 4, 1, 3, 1, 3, 2, 6, 2]","[[1.         0.25649724 0.72539498 0.72942757 0.23442456 0.25068917
  0.25291303 0.25196039 0.24921757 0.23017333 1.         0.13751977
  0.47583162 0.47967643 0.12491616 0.13425947 0.13555014 0.13488857
  0.13327781 0.12239227]
 [0.09205814 1.         0.07200207 0.06509003 0.92689351 0.97918425
  0.95958345 0.99318871 0.98116379 0.92944324 0.04707167 1.
  0.03668575 0.03314632 0.72944342 0.85594415 0.79861371 0.91686786
  0.86268249 0.73433449]
 [0.70219788 0.17588546 1.         0.66310132 0.16975757 0.16956399
  0.1805235  0.17320131 0.17427843 0.1607312  0.45409014 0.09195575
  1.         0.41938357 0.0886194  0.08854146 0.09450182 0.09046524
  0.09103977 0.08360222]
 [0.64672425 0.         0.59434084 1.         0.         0.
  0.         0.         0.         0.         0.40540146 0.
  0.3629265  1.         0.         0.         0.         0.
  0.         0.        ]
 [0.         0.92180313 0.         0.         1.         0.90728551
  0.90036589 0.92244291 0.911209   0.86902971 0.         0.72016802
  0.         0.         1.         0.69552408 0.68405235 0.72136384
  0.70183502 0.63810502]
 [0.0649533  0.97884085 0.04441854 0.04461166 0.91151965 1.
  0.94506051 0.9760174  0.95757506 0.91930001 0.03303338 0.85437245
  0.02251404 0.02259761 0.70240451 1.         0.76539401 0.84513191
  0.79417219 0.71586919]
 [0.06804297 0.95865915 0.05736856 0.04498791 0.9048003  0.94492264
  1.         0.95186309 0.9403037  0.89070947 0.03470304 0.79646461
  0.02913557 0.0228285  0.69126496 0.76544943 1.         0.78055768
  0.75586469 0.66943666]
 [0.08229759 0.99310028 0.06468531 0.06079011 0.92710853 0.97625879
  0.95265972 1.         0.98035238 0.92492894 0.04199582 0.91667924
  0.03291524 0.03095261 0.72998836 0.84645574 0.7823821  1.
  0.85957652 0.7259269 ]
 [0.09044309 0.98131325 0.07757058 0.07250739 0.91764769 0.95870605
  0.94207712 0.98065365 1.         0.91172045 0.04628237 0.86324138
  0.03963867 0.03708143 0.71289141 0.79722229 0.75942563 0.86046464
  1.         0.70299117]
 [0.03026473 0.92732291 0.02512303 0.03558183 0.8737838  0.91853727
  0.88978328 0.92307252 0.90831112 1.         0.01524301 0.73019331
  0.01266951 0.01807504 0.64464629 0.71455448 0.66782863 0.72228477
  0.69712872 1.        ]]"
690,"[1, 2, 4, 5, 9]",[1 5 9],1.0,1.0,[],[],"[3, 4, 5, 3, 5, 2, 2, 3, 2, 3]","[[1.         0.10509031 0.95050263 0.9917562  0.89029655 0.10136325
  0.98070601 0.98476462 0.97604599 0.11616072 1.         0.05396581
  0.77746219 0.90883763 0.66886808 0.05202363 0.86067063 0.87634123
  0.8448598  0.05974263]
 [0.         1.         0.         0.         0.         0.59540218
  0.         0.         0.         0.58328895 0.         1.
  0.         0.         0.         0.36377786 0.         0.
  0.         0.35422943]
 [0.94914277 0.08050669 1.         0.95144134 0.8677271  0.07696564
  0.94804635 0.9418525  0.94000852 0.08059648 0.7744363  0.0411024
  1.         0.77952064 0.63638678 0.03922569 0.77193453 0.75884088
  0.75511078 0.04110915]
 [0.99187333 0.11780436 0.95341124 1.         0.90399775 0.11580059
  0.99051469 0.99225051 0.98498882 0.13178295 0.90948813 0.06071628
  0.78403045 1.         0.69021107 0.05962328 0.90264609 0.91163934
  0.87726101 0.06809436]
 [0.87736591 0.         0.85610042 0.8911286  1.         0.
  0.87868499 0.88755338 0.86990312 0.         0.6499789  0.
  0.62080078 0.67018599 1.         0.         0.65188301 0.66481031
  0.63911436 0.        ]
 [0.06338804 0.62256627 0.06368322 0.06515264 0.06728604 1.
  0.06871463 0.06305024 0.06116257 0.69400556 0.03207634 0.3854472
  0.03216889 0.03293537 0.03405938 1.         0.03476029 0.0318346
  0.03086843 0.44662253]
 [0.98123001 0.12939245 0.9508088  0.99063929 0.89442568 0.13074098
  1.         0.98270863 0.97801554 0.1478194  0.86257585 0.06690212
  0.77807077 0.90328723 0.67517277 0.0675792  1.         0.86916565
  0.85135092 0.07682945]
 [0.98479526 0.10992259 0.94366485 0.9921285  0.89991554 0.10589064
  0.98226893 1.         0.9750346  0.1197704  0.87667784 0.05654099
  0.76272363 0.91124656 0.68376227 0.05436798 0.86771286 1.
  0.84185233 0.06178501]
 [0.97635401 0.11850809 0.94244017 0.98494841 0.88532282 0.11273203
  0.97768795 0.97527545 1.         0.12148648 0.8460293  0.06109735
  0.76021721 0.87731081 0.66116352 0.05799572 0.85042618 0.84261609
  1.         0.06259651]
 [0.21685105 0.66948159 0.20712354 0.2196043  0.20706644 0.73982595
  0.22382107 0.21582582 0.20973065 1.         0.11472245 0.42480144
  0.10928969 0.11628001 0.10928342 0.48971761 0.11875985 0.11423429
  0.11070564 1.        ]]"
691,"[3, 5, 6, 7, 8]",[7 8],1.0,1.0,[],[],"[2, 3, 2, 4, 1, 3, 3, 3, 8, 4]","[[1.         0.98343641 0.9776437  0.89535356 0.96146915 0.87799856
  0.94739947 0.11874551 0.1630626  0.9848574  1.         0.87135184
  0.85040136 0.67680054 0.80391885 0.6510973  0.77061864 0.06126789
  0.08512532 0.87728893]
 [0.98326542 1.         0.98577816 0.91939738 0.97275811 0.87694518
  0.95757546 0.10964807 0.14858959 0.99721761 0.87069041 1.
  0.88108276 0.71618754 0.83488078 0.64940783 0.79409141 0.05644151
  0.0772556  0.94705866]
 [0.97750611 0.98585641 1.         0.89362889 0.96544414 0.88240364
  0.94897257 0.11122815 0.15108689 0.98571352 0.8497684  0.88119046
  1.         0.67400084 0.81390186 0.65714433 0.77422411 0.05729605
  0.07862479 0.88013105]
 [0.88796523 0.9146007  0.88703335 1.         0.88101548 0.77577209
  0.87543014 0.05611683 0.07645156 0.91610038 0.66551513 0.70777986
  0.66403914 1.         0.6551559  0.52673239 0.64728208 0.02848945
  0.03901557 0.71065113]
 [0.9605542  0.97241194 0.96487637 0.88612154 1.         0.87570026
  0.9368302  0.09662437 0.12804359 0.97313928 0.80148335 0.83368494
  0.81238418 0.66265207 1.         0.64761844 0.74874485 0.04960802
  0.06626458 0.835872  ]
 [0.86155936 0.8617908  0.86763993 0.76240235 0.86235955 1.
  0.84254252 0.         0.         0.86232543 0.6283256  0.62843621
  0.6363061  0.51285387 0.62922503 1.         0.60335838 0.
  0.         0.62913777]
 [0.94186362 0.95358967 0.94402844 0.87141118 0.93184227 0.84663634
  1.         0.02599952 0.041092   0.95489325 0.75885792 0.78464141
  0.76364827 0.64170845 0.73910319 0.60856933 1.         0.01313769
  0.02078384 0.78802369]
 [0.         0.         0.         0.         0.         0.
  0.         1.         0.62994495 0.         0.         0.
  0.         0.         0.         0.         0.         1.
  0.39148939 0.        ]
 [0.19896767 0.1934391  0.19436513 0.17469818 0.18587026 0.15652382
  0.16959984 0.68795786 1.         0.19075392 0.10490633 0.10182463
  0.1023444  0.09151579 0.09766122 0.08156473 0.0886807  0.44112239
  1.         0.10047651]
 [0.98478674 0.99736488 0.98572429 0.92056407 0.97350011 0.87694518
  0.95870613 0.10529088 0.14160849 1.         0.87634241 0.94692319
  0.87971538 0.71825709 0.83663515 0.64917436 0.79680665 0.05402705
  0.07350587 1.        ]]"
692,"[3, 4, 6, 7, 8]",[4 7 8],1.0,1.0,[],[],"[5, 2, 2, 3, 2, 1, 2, 2, 4, 3]","[[1.         0.91147563 0.97548587 0.96991032 0.07836366 0.96152208
  0.97796799 0.07021518 0.07352033 0.98097547 1.         0.70257238
  0.84317744 0.82685906 0.03996221 0.80415668 0.85173598 0.0358095
  0.03742248 0.86219047]
 [0.9039487  1.         0.91033569 0.899207   0.         0.89961664
  0.91105322 0.         0.         0.91817247 0.69019175 1.
  0.70056014 0.68290376 0.         0.68314379 0.70189029 0.
  0.         0.71407731]
 [0.97600519 0.91911276 1.         0.98925369 0.09788817 0.97721142
  0.99255675 0.08883069 0.09539812 0.99375643 0.84484708 0.71558706
  1.         0.89602941 0.05018343 0.84911241 0.91395691 0.04547701
  0.0488536  0.92112817]
 [0.97096123 0.90988179 0.98954653 1.         0.10413069 0.97650149
  0.99411984 0.09463477 0.10026747 0.99265462 0.82928655 0.69984376
  0.89638395 1.         0.05342226 0.84649023 0.92316574 0.04846297
  0.05140702 0.91436869]
 [0.         0.         0.         0.         1.         0.
  0.         0.70002831 0.75687539 0.         0.         0.
  0.         0.         1.         0.         0.         0.4521737
  0.50684351 0.        ]
 [0.96101744 0.90616284 0.97644287 0.97532054 0.06461681 1.
  0.97841459 0.05811155 0.06316439 0.98031438 0.80271809 0.69357157
  0.84636838 0.84316371 0.03291013 1.         0.8538503  0.02950457
  0.03205732 0.85980008]
 [0.97874333 0.9207066  0.99271201 0.99399689 0.10784965 0.97941218
  1.         0.09845696 0.10369659 0.99559277 0.8541321  0.71842869
  0.9144365  0.92333257 0.05547756 0.85726076 1.         0.0505119
  0.05328098 0.93438483]
 [0.05353797 0.0618276  0.05241461 0.05187875 0.71862133 0.05530314
  0.05195385 1.         0.75639531 0.05347436 0.02741311 0.03160199
  0.0268035  0.02652838 0.4694861  0.02819182 0.02651081 1.
  0.50608798 0.02727139]
 [0.02680502 0.03187674 0.02922556 0.02771808 0.7647762  0.03038478
  0.02739114 0.74872593 1.         0.02945497 0.01350421 0.01610705
  0.01472951 0.01401236 0.5147868  0.01523942 0.01381891 0.4981851
  1.         0.0147375 ]
 [0.98140942 0.9260858  0.99381625 0.99244052 0.09596228 0.98097402
  0.99553405 0.08791053 0.09368356 1.         0.86352294 0.72815751
  0.92105022 0.91399078 0.04924476 0.86216813 0.93395185 0.04499306
  0.04792134 1.        ]]"
693,"[0, 3, 4, 5, 7]",[0 5],1.0,1.0,[],[],"[4, 4, 6, 7, 3, 4, 5, 3, 1, 3]","[[1.         0.         0.         0.         0.         0.61569936
  0.         0.         0.         0.         1.         0.
  0.         0.         0.         0.38002651 0.         0.
  0.         0.        ]
 [0.         1.         0.89578317 0.91870961 0.86748872 0.
  0.91352398 0.85258901 0.89302885 0.9137872  0.         1.
  0.67725042 0.71489225 0.63639302 0.         0.70611011 0.61651907
  0.67313766 0.70637848]
 [0.0818079  0.90416945 1.         0.97281034 0.93064662 0.10619413
  0.98439102 0.93088961 0.96601836 0.98431976 0.04166063 0.69069637
  1.         0.8348415  0.73697813 0.05452756 0.87542463 0.73751346
  0.81571249 0.87490686]
 [0.07712875 0.92483677 0.97267178 1.         0.94027068 0.10380209
  0.98946109 0.91786577 0.96465253 0.98905234 0.03925777 0.72608494
  0.8344274  1.         0.75571219 0.05333575 0.89730315 0.71370685
  0.81199597 0.89546498]
 [0.14531057 0.88674104 0.93559948 0.94484065 1.         0.19451089
  0.95340093 0.88157757 0.92460664 0.95341544 0.07537343 0.66379932
  0.7462308  0.76489532 1.         0.10249939 0.78384213 0.65593584
  0.72537384 0.78410702]
 [0.68613739 0.18317824 0.20490564 0.2068197  0.23019549 1.
  0.21129087 0.19031614 0.19400131 0.2113696  0.43952357 0.0959671
  0.1081049  0.10921411 0.1224889  1.         0.11164111 0.09999406
  0.10205013 0.11177358]
 [0.09738791 0.92180351 0.98465588 0.98969244 0.95061654 0.12841496
  1.         0.93188741 0.97497815 0.99977192 0.04987965 0.72076923
  0.87649303 0.89843856 0.77788222 0.06635271 1.         0.73929309
  0.84266691 0.98615573]
 [0.02103044 0.85568865 0.92647141 0.91302652 0.8643609  0.0295858
  0.92628461 1.         0.91236888 0.92690159 0.01051519 0.62055145
  0.72898281 0.7051418  0.63180134 0.01492279 0.72849173 1.
  0.70415625 0.72998617]
 [0.05897779 0.8993368  0.96533572 0.96411856 0.91699248 0.07144656
  0.97407998 0.91576515 1.         0.97411335 0.02985164 0.68289504
  0.81344163 0.81015532 0.71185328 0.03637954 0.83935041 0.70993761
  1.         0.83925865]
 [0.09826203 0.92216338 0.98465588 0.98935815 0.95073684 0.12935918
  0.9998291  0.93257011 0.97508741 1.         0.05029249 0.72114544
  0.87603359 0.89666563 0.77825082 0.06689756 0.98616175 0.74084073
  0.84264544 1.        ]]"
694,"[1, 3, 7, 8, 9]",[1 3 7],1.0,1.0,[],[],"[4, 4, 2, 3, 3, 4, 3, 3, 2, 4]","[[1.         0.02747332 0.99099889 0.02581283 0.99819895 0.99405877
  0.97222602 0.02784693 0.97783074 0.99732027 1.         0.0137134
  0.90530261 0.01292366 0.95704178 0.92210383 0.83329364 0.01394505
  0.85100275 0.94700962]
 [0.07024832 1.         0.06887001 0.73386698 0.07019488 0.07188885
  0.07453444 0.76611342 0.06866625 0.06810201 0.03546684 1.
  0.03476704 0.4839035  0.03540315 0.03634539 0.03768626 0.51629901
  0.03469452 0.03443099]
 [0.99099972 0.02612138 1.         0.02590277 0.99076383 0.98491842
  0.96444019 0.02715537 0.97198489 0.99071336 0.90531023 0.01307724
  1.         0.0130031  0.90379853 0.87700305 0.81149283 0.01367364
  0.83272807 0.90348202]
 [0.         0.71420984 0.         1.         0.         0.
  0.         0.79437529 0.         0.         0.         0.46535422
  0.         1.         0.         0.         0.         0.54657099
  0.         0.        ]
 [0.99810763 0.02785959 0.99067578 0.02626254 1.         0.99570404
  0.97213495 0.02927616 0.97882004 0.99824432 0.95705543 0.01396155
  0.90382135 0.01323717 1.         0.9343486  0.83332863 0.01468089
  0.85448303 0.95921952]
 [0.9939075  0.01945826 0.98467504 0.01605432 0.995659   1.
  0.96908437 0.02185339 0.97589711 0.99440954 0.9217205  0.00976262
  0.87638783 0.00806621 0.93400457 1.         0.82437845 0.0109669
  0.84476407 0.92584138]
 [0.97175298 0.01858916 0.96385709 0.01236678 0.97173732 0.96896851
  1.         0.01733518 0.95476212 0.96978377 0.83215935 0.00928747
  0.81019492 0.00620745 0.83214126 0.82404935 1.         0.00866541
  0.7877202  0.82643137]
 [0.02667774 0.7550577  0.02589549 0.79947835 0.02766233 0.03039166
  0.0295497  1.         0.0246425  0.02633524 0.01319674 0.50501458
  0.01284568 0.55209129 0.01361985 0.01506325 0.01461778 1.
  0.01217457 0.01303065]
 [0.97715314 0.         0.9711503  0.         0.97824882 0.97550386
  0.95419569 0.         1.         0.97810017 0.84905194 0.
  0.83052436 0.         0.85253096 0.84350172 0.78639426 0.
  1.         0.85242392]
 [0.99723068 0.02612138 0.99062962 0.02671224 0.99824513 0.99447009
  0.97022265 0.02840018 0.97868513 1.         0.94703791 0.01318138
  0.9035258  0.01345072 0.95922835 0.92624393 0.82769642 0.01430569
  0.85440892 1.        ]]"
