fl_iter,main_task_acc,backdoor_acc,raw_task_acc,adv_norm_diff,wg_norm
79,96.145,96.0,97.725,0.0,10.654199600219727
80,96.105,97.0,97.65,0.0,10.654441833496094
81,96.1475,97.0,97.5,0.0,10.659989356994629
82,95.9,97.0,96.75,0.20535066723823547,10.661470413208008
83,95.92,97.0,95.6,0.15950614213943481,10.669731140136719
84,96.2575,95.0,97.775,0.0,10.67508316040039
85,95.995,95.0,98.35,0.15783914923667908,10.67698860168457
86,95.72,97.0,97.225,0.0,10.683274269104004
87,96.125,97.0,96.425,0.0,10.68729305267334
88,95.9075,94.0,96.85,0.0,10.690503120422363
89,96.06,97.0,97.95,0.0,10.68956184387207
90,96.1325,97.0,97.075,0.0,10.696981430053711
91,96.2125,97.0,97.35,0.0,10.704900741577148
92,96.3425,97.0,97.075,0.0,10.708710670471191
93,96.455,97.0,97.125,0.0,10.709192276000977
94,96.465,97.0,98.35,0.0,10.71487045288086
95,96.26,98.0,98.125,0.0,10.718803405761719
96,96.3375,97.0,98.125,0.0,10.722139358520508
97,96.215,97.0,97.125,0.0,10.720419883728027
98,96.2575,95.0,97.825,0.0,10.725292205810547
99,96.2475,97.0,98.125,0.2260495126247406,10.727238655090332
100,96.7075,97.0,97.425,0.0,10.731375694274902
101,96.6525,97.0,97.8,0.0,10.732503890991211
102,96.6825,97.0,97.65,0.0,10.734634399414062
103,96.675,93.0,97.575,0.0,10.737723350524902
104,96.4275,95.0,97.7,0.16381964087486267,10.741000175476074
105,96.8625,97.0,98.3,0.0,10.744175910949707
106,96.295,97.0,98.25,0.0,10.746360778808594
107,96.3875,97.0,98.25,0.0,10.748648643493652
108,96.6625,97.0,98.125,0.0,10.752340316772461
109,96.695,97.0,98.1,0.0,10.755069732666016
110,96.9375,97.0,98.15,0.0,10.759016036987305
111,96.8375,97.0,98.025,0.15511362254619598,10.76284408569336
112,96.8825,97.0,98.075,0.0,10.766913414001465
113,96.82,97.0,98.275,0.16189609467983246,10.769390106201172
